"Year","Quarter","Fleet","Area","Catch_lbs"
2006,3,"UScom","NNC",152154.164417616
2006,4,"UScom","NNC",7095.87098677107
2007,1,"UScom","NNC",817.237756717506
2007,2,"UScom","NNC",256800.207274484
2007,3,"UScom","NNC",225241.395225949
2007,4,"UScom","NNC",5616.76460605992
2008,1,"UScom","NNC",633.196211816242
2008,2,"UScom","NNC",145410.696208182
2008,3,"UScom","NNC",209080.836358379
2008,4,"UScom","NNC",9953.04127367816
2009,1,"UScom","NNC",1690.78787342148
2009,2,"UScom","NNC",329037.375437137
2009,3,"UScom","NNC",472268.652795317
2009,4,"UScom","NNC",5131.50553423837
2010,1,"UScom","NNC",714.386672382334
2010,2,"UScom","NNC",116166.872685774
2010,3,"UScom","NNC",172851.627642064
2010,4,"UScom","NNC",5907.54875621008
2011,1,"UScom","NNC",1051.00228218578
2011,2,"UScom","NNC",55998.2963867351
2011,3,"UScom","NNC",49940.8977385649
2011,4,"UScom","NNC",4878.88845436079
2012,1,"UScom","NNC",5291.73689203328
2012,2,"UScom","NNC",230662.321796491
2012,3,"UScom","NNC",80553.264633449
2012,4,"UScom","NNC",5493.61688941047
2013,1,"UScom","NNC",5335.60511504414
2013,2,"UScom","NNC",99050.4052125813
2013,3,"UScom","NNC",114950.69352452
