"Year","Region Name","Pounds","Dollars","Collection","Metric Tons"
"2014","New England","183,673","","Recreational","83"
"2014","South Atlantic","1,042,822","2,878,749","Commercial","473"
"2014","South Atlantic","11,925,345","","Recreational","5,409"
"2014","Middle Atlantic","48,462","162,763","Commercial","22"
"2014","Middle Atlantic","2,129,222","","Recreational","966"
"2015","Gulf","155,696","352,576","Commercial","71"
"2015","Gulf","6,286,577","","Recreational","2,852"
"2015","New England","31,995","83,350","Commercial","15"
"2015","New England","1,198,628","","Recreational","544"
"2015","South Atlantic","920,772","2,569,775","Commercial","418"
"2015","South Atlantic","14,821,772","","Recreational","6,723"
"2015","Middle Atlantic","34,858","99,992","Commercial","16"
"2015","Middle Atlantic","4,501,793","","Recreational","2,042"
"2016","Gulf","37,733","87,247","Commercial","17"
"2016","Gulf","1,777,348","","Recreational","806"
"2016","New England","15,747","56,691","Commercial","7"
"2016","New England","16,499","","Recreational","7"
"2016","South Atlantic","828,435","2,619,788","Commercial","376"
"2016","South Atlantic","12,357,817","","Recreational","5,605"
"2016","Middle Atlantic","61,336","187,895","Commercial","28"
"2016","Middle Atlantic","2,212,513","","Recreational","1,004"
"2017","Gulf","68,260","143,653","Commercial","31"
"2017","Gulf","2,064,106","","Recreational","936"
"2017","New England","30,969","78,092","Commercial","14"
"2017","New England","48,607","","Recreational","22"
"2017","South Atlantic","533,082","1,837,298","Commercial","242"
"2017","South Atlantic","9,457,460","","Recreational","4,290"
"2017","Middle Atlantic","16,179","53,386","Commercial","7"
"2017","Middle Atlantic","1,820,541","","Recreational","826"
"2018","Gulf","57,052","136,352","Commercial","26"
"2018","Gulf","1,626,095","","Recreational","738"
"2018","New England","12,667","37,874","Commercial","6"
"2018","New England","97,107","","Recreational","44"
"2018","South Atlantic","435,290","1,362,045","Commercial","197"
"2018","South Atlantic","11,713,866","","Recreational","5,313"
"2018","Middle Atlantic","20,514","58,203","Commercial","9"
"2018","Middle Atlantic","3,104,018","","Recreational","1,408"
"2019","Gulf","85,077","199,934","Commercial","39"
"2019","Gulf","3,567,170","","Recreational","1,618"
"2019","New England","16,918","37,335","Commercial","8"
"2019","New England","66","","Recreational","0"
"2019","South Atlantic","563,708","1,660,324","Commercial","256"
"2019","South Atlantic","7,967,978","","Recreational","3,614"
"2019","Middle Atlantic","47,981","136,551","Commercial","22"
"2019","Middle Atlantic","1,518,629","","Recreational","689"
"2020","Gulf","26,653","67,622","Commercial","12"
"2020","Gulf","1,952,241","","Recreational","886"
"2020","New England","1,880","5,866","Commercial","1"
"2020","New England","","","Recreational",""
"2020","South Atlantic","260,503","764,505","Commercial","118"
"2020","South Atlantic","5,653,294","","Recreational","2,564"
"2020","Middle Atlantic","14,040","43,881","Commercial","6"
"2020","Middle Atlantic","679,556","","Recreational","308"
"2021","Gulf","27,212","73,905","Commercial","12"
"2021","Gulf","2,893,817","","Recreational","1,313"
"2021","New England","11,421","38,309","Commercial","5"
"2021","New England","123,038","","Recreational","56"
"2021","South Atlantic","177,263","642,998","Commercial","80"
"2021","South Atlantic","6,061,024","","Recreational","2,749"
"2021","Middle Atlantic","25,799","90,762","Commercial","12"
"2021","Middle Atlantic","1,051,785","","Recreational","477"
