area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Northwest",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,hand lines,Direct human consumption,0.1460119432,191.16181457183748
"Atlantic, Northwest",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0000039015,0.005107942175088308
"Atlantic, Northwest",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0000000020,5.701241523417434e-11
"Atlantic, Northwest",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Other,0.0000000020,5.701241523417434e-11
"Atlantic, Northwest",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0000078108,0.0102261104606373
"Atlantic, Northwest",high_seas,1951,"Thunnus albacares","Yellowfin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,hand lines,Direct human consumption,26.9935258577,90516.99483051777
"Atlantic, Northwest",high_seas,1951,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0000452501,0.07297545772493529
"Atlantic, Northwest",high_seas,1951,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,pole and line,Direct human consumption,0.0000075417,0.012162576287489237
"Atlantic, Northwest",high_seas,1951,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,hand lines,Direct human consumption,3.2314260628,5211.366416517529
"Atlantic, Northwest",high_seas,1951,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0007541682,1.2162576287489237
"Atlantic, Northwest",high_seas,1951,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0000075417,0.012162576287489237
"Atlantic, Northwest",high_seas,1951,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0037029656,5.971824957157213
"Atlantic, Northwest",high_seas,1951,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,artisanal fishing gear,Direct human consumption,1.0916979942,1760.5967623370084
"Atlantic, Northwest",high_seas,1951,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Canada",Industrial,Landings,Reported,artisanal fishing gear,Direct human consumption,601.9800760253,5524103.009872843
"Atlantic, Northwest",high_seas,1951,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,artisanal fishing gear,Direct human consumption,7.9523714385,79591.46119371118
"Atlantic, Northwest",high_seas,1951,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Germany",Industrial,Discards,Unreported,bottom trawl,,0.2391445460
"Atlantic, Northwest",high_seas,1951,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Portugal",Industrial,Discards,Unreported,bottom trawl,,0.1136768470
"Atlantic, Northwest",high_seas,1951,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Spain",Industrial,Discards,Unreported,bottom trawl,,4.8692695750
"Atlantic, Northwest",high_seas,1951,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Direct human consumption,17.3947284394,19278.468360093502
"Atlantic, Northwest",high_seas,1951,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0087060703,0.023621557145812093
"Atlantic, Northwest",high_seas,1951,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Other,0.0087060703,0.023621557145812093
"Atlantic, Northwest",high_seas,1951,"Hippoglossoides platessoides","American plaice","Small to medium flatfishes (<90 cm)","Flatfishes","Germany",Industrial,Discards,Unreported,bottom trawl,,4.7424846570
"Atlantic, Northwest",high_seas,1951,"Hippoglossoides platessoides","American plaice","Small to medium flatfishes (<90 cm)","Flatfishes","Portugal",Industrial,Discards,Unreported,bottom trawl,,2.2543299090
"Atlantic, Northwest",high_seas,1951,"Hippoglossoides platessoides","American plaice","Small to medium flatfishes (<90 cm)","Flatfishes","Spain",Industrial,Discards,Unreported,bottom trawl,,96.5626716400
"Atlantic, Northwest",high_seas,1952,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Faeroe Isl. (Denmark)",Industrial,Discards,Unreported,bottom trawl,,1555.4861316992
