area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.1245770380,0.0014473808749295447
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Artisanal,Landings,Unreported,small scale other nets,Fishmeal and fish oil,0.0051942773,6.03489831691494e-05
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Fishmeal and fish oil,0.0136408377,0.0001584841628416635
"Mayotte (France)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Mayotte (France)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.0916281460,155.54864352910795
"Mayotte (France)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Mayotte (France)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,0.0916281460,155.54864352910795
"Mayotte (France)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Mayotte (France)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,0.0001088530,0.18478968781136298
"Mayotte (France)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Mayotte (France)",Subsistence,Landings,Reported,subsistence fishing gear,Direct human consumption,0.0001088530,0.18478968781136298
"Dominica",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Dominica",Artisanal,Landings,Reported,small scale lines,Direct human consumption,8.8224582701,6884.14858564158
"Dominica",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Dominica",Subsistence,Landings,Reported,subsistence fishing gear,Direct human consumption,17.1259484067,13363.347254508255
"Dominican Republic",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Dominican Republic",Artisanal,Landings,Reported,small scale lines,Direct human consumption,2.3723489333,3466.4651563726034
"Dominican Republic",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Dominican Republic",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,12.6508177333,18485.31565342015
"Equatorial Guinea",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Equatorial Guinea",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,122.0654336259,168610.82433619112
"Equatorial Guinea",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Equatorial Guinea",Artisanal,Landings,Unreported,small scale encircling nets,Direct human consumption,122.0654336259,168610.82433619112
"Equatorial Guinea",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Equatorial Guinea",Artisanal,Landings,Reported,small scale lines,Direct human consumption,2.3650000000,3266.810166565
"Equatorial Guinea",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Equatorial Guinea",Artisanal,Landings,Reported,small scale encircling nets,Direct human consumption,2.3650000000,3266.810166565
"French Polynesia",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","French Polynesia",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,117.0000000000,198620.097507
"Grenada",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Grenada",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,2.9684431331,2551.1926572494885
"Grenada",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Grenada",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,0.0093701758,8.053084592578646
"Grenada",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Grenada",Artisanal,Landings,Reported,small scale lines,Direct human consumption,8.9683308939,7707.723846663717
"Guadeloupe  (France)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Guadeloupe  (France)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,200.0000000000,339521.5342
"Haiti",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Haiti",Artisanal,Landings,Reported,small scale lines,Direct human consumption,29.9530165244,11128.165807035833
"Hong Kong (China)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0141408425,28.032552525786574
"Hong Kong (China)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Other,0.0000007750,9.003837988047927e-09
"Hong Kong (China)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Direct human consumption,0.0015483828,3.0694861983557735
"Hong Kong (China)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Fishmeal and fish oil,0.0000007750,9.003837988047927e-09
